name,brand,notes,citrus,woody,fresh_spicy,sweet,fruity
Jean Paul Gaultier Fucking Fabulous Limited Edition,Jean Paul Gaultier,papyrus neroli lemon sandalwood,50,36,6,6,2
Jean Paul Gaultier La Vie Est Belle Night,Jean Paul Gaultier,honey ambergris ginger,0,38,39,19,4
Kilian Side Effect Privé,Kilian,honey sandalwood orange coffee ambergris birch,38,45,2,12,3
Gucci Millessime Imperial Eau de Parfum,Gucci,cacao lemon sandalwood mandarin coffee cedarwood ginger melon saffron agarwood,35,13,14,26,12
Mancera Le Male Uomo,Mancera,cacao lemon apricot amber black_pepper petitgrain,28,5,12,21,34
Prada Baccarat Rouge Blanche,Prada,iso_e_super lime fig agarwood cashmeran cloves,17,28,23,5,27
Xerjoff Good Girl Privé,Xerjoff,oakmoss raspberry mandarin,24,26,9,7,34
Parfums de Marly Black Phantom Parfum,Parfums de Marly,orange papyrus cardamom coriander,14,19,52,10,5
Dior Dylan Blue Extreme,Dior,mandarin_orange cardamom blackcurrant bergamot pink_pepper fig vetiver,17,34,33,1,15
Dolce & Gabbana Carlisle Parfum,Dolce & Gabbana,orange honey petitgrain,61,9,6,19,5
Lancome Fucking Fabulous Limited Edition,Lancome,sour_cherry cardamom blackberry caramel,4,6,42,37,11
Kilian Sedley Cologne,Kilian,passionfruit iso_e_super sandalwood blackcurrant petitgrain sichuan_pepper,18,14,52,2,14
Dior Carlisle Donna,Dior,papyrus honey iso_e_super blood_orange anis birch,14,25,41,14,6
Dior Galloway,Dior,lavender cedar yuzu apricot petitgrain cashmeran,29,28,11,3,29
Gucci Alien Uomo,Gucci,green_apple cloves,8,9,52,10,21
Nishane L'Homme,Nishane,pepper sichuan_pepper ebony_wood dried_fruits birch,1,13,49,8,29
Parfums de Marly Lost Cherry Intense,Parfums de Marly,cedar marshmallow praline,6,19,9,66,0
Gucci Gyan Privé,Gucci,coffee apricot cedarwood sour_cherry bourbon_vanilla,8,27,3,46,16
Paco Rabanne Le Male Night,Paco Rabanne,nutmeg lime petitgrain ambergris cashmeran,26,33,33,3,5
Bvlgari Dylan Blue Eau de Parfum,Bvlgari,mandarin_orange raspberry cinnamon saffron agarwood,12,24,32,6,26
Kilian Layton Limited Edition,Kilian,pink_pepper nutmeg yuzu marshmallow,19,4,15,62,0
Paco Rabanne Love Dont Be Shy Elixir,Paco Rabanne,orange black_pepper pink_pepper neroli peach apple,18,4,28,4,46
Kilian Code Intense,Kilian,mandarin_orange amberwood coffee orange sour_cherry bourbon_vanilla,13,40,7,13,27
Byredo Man Eau Fraiche Extreme,Byredo,papyrus licorice,0,67,3,22,8
Kilian Lost Cherry Absolute,Kilian,saffron oud sandalwood green_apple,10,16,39,10,25
Maison Margiela Galloway Uomo,Maison Margiela,amberwood sandalwood lime caramel peach grapefruit birch cloves,28,20,22,14,16
Jean Paul Gaultier Jubilation Donna,Jean Paul Gaultier,pink_pepper tonka_bean coconut coriander,6,10,11,24,49
Montale Tygar Absolute,Montale,sour_cherry oakmoss raspberry brown_sugar,7,12,7,58,16
