name,brand,notes,citrus,woody,fresh_spicy,sweet
Giorgio Armani Fucking Fabulous Privé,Giorgio Armani,amberwood tonka_bean oakmoss petitgrain mandarin honey,20,28,2,50
Versace Herod Intense,Versace,vetiver praline cedar,3,64,13,20
Hermes Aventus Sport,Hermes,grapefruit lemon sandalwood patchouli cloves oud,25,59,16,0
Prada Interlude,Prada,honey pineapple bergamot ginger,24,13,23,40
Jean Paul Gaultier Black Phantom Parfum,Jean Paul Gaultier,lavender honey,0,9,25,66
Prada Millessime Imperial Eau de Parfum,Prada,amberwood cedar cashmeran honey caramel,12,36,6,46
Lancome Green Irish Tweed Parfum,Lancome,neroli pineapple oakmoss praline petitgrain patchouli,38,31,8,23
Jean Paul Gaultier The One,Jean Paul Gaultier,sandalwood apple,0,23,1,76
Paco Rabanne No 5 Parfum,Paco Rabanne,vetiver lemon cloves cinnamon,16,53,31,0
Chanel Straight to Heaven Extreme,Chanel,vanilla lemon tonka_bean ambroxan,36,36,8,20
Roja Rose of No Man's Land Night,Roja,birch neroli cedar sandalwood caramel,35,37,3,25
Creed Le Beau,Creed,lavender sandalwood neroli bergamot,16,48,27,9
Tom Ford Layton Privé,Tom Ford,lime birch cinnamon ginger,46,33,21,0
Chanel Code Parfum,Chanel,oakmoss ginger grapefruit mint orange caramel oud,22,19,27,32
Amouage Noir Extreme Parfum,Amouage,patchouli amberwood petitgrain pink_pepper,23,54,23,0
Gucci Oud Wood Extreme,Gucci,patchouli lime orange cedar,39,56,5,0
Hermes Gypsy Water Parfum,Hermes,grapefruit coffee chocolate,57,5,4,34
Chanel Layton Gold,Chanel,petitgrain patchouli birch cinnamon oud,35,40,25,0
Creed Baccarat Rouge Extreme,Creed,grapefruit cashmeran sandalwood oud,53,38,9,0
Tom Ford Green Irish Tweed,Tom Ford,oakmoss orange bergamot,36,49,15,0
Roja Neroli Portofino Extreme,Roja,amberwood apple ginger peach lime bergamot,34,16,24,26
Paco Rabanne Hypnotic Poison Privé,Paco Rabanne,cedar oakmoss cardamom mandarin lime birch,34,50,16,0
Amouage Baccarat Rouge Privé,Amouage,vetiver praline petitgrain bergamot oud,32,42,5,21
Roja Code Sport,Roja,blackcurrant tonka_bean oakmoss nutmeg ginger,11,28,27,34
Lancome Scandal Elixir,Lancome,grapefruit cashmeran orange,55,37,0,8
Roja Ombre Leather Sport,Roja,caramel tonka_bean orange nutmeg,27,9,37,27
Tom Ford Bal d'Afrique Intense,Tom Ford,patchouli mint,8,56,36,0
Prada Tobacco Vanille Parfum,Prada,grapefruit patchouli mint cloves,26,44,30,0
Prada Grey Vetiver Elixir,Prada,amberwood apple lime caramel bergamot,54,20,7,19
Gucci Lost Cherry Night,Gucci,pepper pink_pepper orange oud,25,51,21,3
Paco Rabanne Le Beau Parfum,Paco Rabanne,patchouli birch cinnamon oud,13,64,23,0
Creed Black Phantom Sport,Creed,vanilla coffee petitgrain pink_pepper cloves,33,12,39,16
Versace Ombre Leather Parfum,Versace,amberwood oakmoss mint lemon birch,40,28,32,0
Chanel Coco Mademoiselle,Chanel,sandalwood pineapple caramel cedar,11,51,0,38
Chanel La Nuit de L'Homme Night,Chanel,apple pineapple orange,16,13,10,61
Yves Saint Laurent Jadore Privé,Yves Saint Laurent,cedar vetiver pineapple lavender birch pepper,10,18,29,43
Paco Rabanne One Million Parfum,Paco Rabanne,oakmoss tonka_bean ambroxan,6,55,7,32
Hermes Dylan Blue Sport,Hermes,tonka_bean cedar oakmoss mint peach bergamot oud,37,17,30,16
Jean Paul Gaultier Code Gold,Jean Paul Gaultier,ambroxan orange neroli,48,35,8,9
Yves Saint Laurent Black Orchid Extreme,Yves Saint Laurent,lime birch petitgrain,41,51,8,0
Maison Margiela Bal d'Afrique Parfum,Maison Margiela,amberwood pink_pepper oud patchouli bergamot pepper,50,26,24,0
Amouage Interlude Privé,Amouage,apple cashmeran peach orange petitgrain sandalwood,18,22,0,60
Kilian Acqua Di Gio Privé,Kilian,sandalwood cashmeran peach birch,0,61,2,37
Gucci Light Blue Elixir,Gucci,pineapple praline bergamot,47,11,9,33
Tom Ford Alien Elixir,Tom Ford,peach chocolate cedar,11,24,4,61
Versace Layton Intense,Versace,pink_pepper ginger neroli oud,39,26,35,0
Hermes Jadore Extreme,Hermes,neroli cashmeran petitgrain cardamom patchouli,22,52,26,0
Maison Margiela L'Homme,Maison Margiela,saffron ambroxan vetiver oakmoss mandarin,41,30,29,0
Maison Margiela Layton Gold,Maison Margiela,vetiver lemon sandalwood nutmeg,23,42,35,0
Amouage Alien Extreme,Amouage,amberwood patchouli lime birch cinnamon pepper,53,29,17,1
Giorgio Armani Le Beau Intense,Giorgio Armani,patchouli neroli,58,21,13,8
Lancome Libre,Lancome,vetiver pink_pepper cloves birch,14,44,42,0
Byredo Grey Vetiver Privé,Byredo,saffron mandarin,43,14,29,14
Gucci Black Orchid Night,Gucci,vetiver cloves ambroxan cedar,14,53,23,10
Lancome Jubilation Gold,Lancome,amberwood ambroxan vetiver lavender lime,32,47,21,0
Prada Baccarat Rouge Night,Prada,vetiver cardamom sandalwood coffee caramel pepper,3,18,36,43
Jean Paul Gaultier Invictus,Jean Paul Gaultier,oakmoss lemon orange cardamom sandalwood oud,35,32,33,0
Lancome Gypsy Water Night,Lancome,neroli mint lemon oud pepper,46,32,22,0
Versace The One Intense,Versace,oakmoss lemon mandarin patchouli birch,25,60,15,0
Kilian Angels Share Eau de Parfum,Kilian,amberwood orange oud,46,44,10,0
Prada Ombre Leather Eau de Parfum,Prada,honey grapefruit orange blackcurrant,31,6,13,50
Paco Rabanne Black Orchid Intense,Paco Rabanne,grapefruit cashmeran lemon pink_pepper,26,53,21,0
Gucci Acqua Di Gio,Gucci,pepper pink_pepper neroli mandarin,43,13,37,7
Paco Rabanne The One Night,Paco Rabanne,neroli oakmoss patchouli chocolate oud,32,45,7,16
Giorgio Armani Sauvage Sport,Giorgio Armani,amberwood oakmoss grapefruit petitgrain patchouli,37,49,14,0
Prada Bal d'Afrique Elixir,Prada,blackcurrant coffee,10,8,5,77
Byredo Alien Night,Byredo,lemon amberwood ambroxan cardamom,43,22,35,0
Jean Paul Gaultier Aventus Eau de Parfum,Jean Paul Gaultier,saffron cedar oakmoss mandarin cinnamon,50,23,27,0
Hermes Reflection Intense,Hermes,amberwood oakmoss cashmeran petitgrain bergamot,54,41,4,1
Dior Le Beau Extreme,Dior,cinnamon oud,3,61,36,0
Maison Margiela La Nuit de L'Homme Extreme,Maison Margiela,ambroxan oakmoss nutmeg oud pepper,11,41,43,5
Amouage Soleil Blanc Gold,Amouage,cedar oakmoss orange pepper cloves oud,19,57,23,1
Paco Rabanne Scandal Sport,Paco Rabanne,oakmoss lemon chocolate praline,46,38,0,16
Dior Angels Share Sport,Dior,lavender amberwood cardamom,8,37,40,15
Lancome Le Male,Lancome,vetiver petitgrain,23,58,6,13
Maison Margiela Le Beau Privé,Maison Margiela,cedar mandarin,43,48,9,0
Paco Rabanne Jubilation Intense,Paco Rabanne,ambroxan cedar mint cardamom lime oud,32,35,33,0
