name,brand,notes,citrus,woody,fresh_spicy,sweet,fruity
Versace Baccarat Rouge Eau de Parfum,Versace,petitgrain cedar apricot coconut,29,43,8,9,11
Amouage Straight to Heaven Privé,Amouage,honey chocolate melon cinnamon petitgrain black_cherry,17,2,44,23,14
Creed Black Opium Blanche,Creed,melon cardamom nutmeg lime,19,3,51,8,19
Amouage One Million Eau de Parfum,Amouage,papyrus cedar licorice green_apple pear,10,18,8,33,31
Mancera Libre Intense,Mancera,cedarwood ambergris oud grapefruit,41,44,0,9,6
Giorgio Armani Spicebomb Intense,Giorgio Armani,oud lemon melon green_apple birch mandarin black_pepper amberwood,17,27,16,3,37
Dolce & Gabbana Gyan Noir,Dolce & Gabbana,bourbon_vanilla coconut grapefruit,48,6,10,11,25
Parfums de Marly Oud Wood Absolute,Parfums de Marly,amberwood caramel bourbon_vanilla orange,18,14,10,55,3
Gucci Sauvage Extreme,Gucci,peach cedar green_apple petitgrain cedarwood bourbon_vanilla ambroxan,15,15,7,14,49
Mancera Gypsy Water Limited Edition,Mancera,oud bergamot cedarwood lavender neroli,16,43,38,3,0
Parfums de Marly Good Girl Eau de Parfum,Parfums de Marly,ginger petitgrain pink_pepper,29,4,59,3,5
Prada One Million,Prada,lemon mint green_apple mandarin_orange dried_fruits,16,9,27,6,42
Prada Hypnotic Poison Parfum,Prada,ginger chocolate pepper tonka_bean,4,2,79,12,3
Chanel No 5 Parfum,Chanel,honey mint cinnamon apple pear lime,12,2,51,16,19
Giorgio Armani Coco Mademoiselle Cologne,Giorgio Armani,papyrus lemon dried_fruits,17,44,9,5,25
Jean Paul Gaultier Oud Wood Extreme,Jean Paul Gaultier,honey petitgrain lime blackberry black_cherry agarwood,39,26,9,15,11
Jean Paul Gaultier The One Intense,Jean Paul Gaultier,vetiver sandalwood petitgrain mandarin blackberry ambroxan,35,46,3,0,16
Roja Parfums Lost Cherry Gold,Roja Parfums,pink_pepper chocolate peach wax cloves,3,3,13,35,46
Byredo Mojave Ghost Elixir,Byredo,cedarwood bourbon_vanilla praline vetiver,8,30,2,51,9
Prada Bal dAfrique Eau de Parfum,Prada,papyrus lemon peach lime wax coffee,19,24,0,14,43
Amouage Le Beau Extreme,Amouage,cumin cacao,8,5,19,58,10
Chanel Pegasus,Chanel,mint cardamom wax cashmeran cherry_liqueur caramel,3,39,15,28,15
Dior Bal dAfrique Blanche,Dior,coffee cloves green_apple cinnamon,0,10,33,26,31
Maison Margiela Bal dAfrique Eau de Parfum,Maison Margiela,papyrus mandarin praline,25,47,6,19,3
Jean Paul Gaultier Carlisle Limited Edition,Jean Paul Gaultier,nutmeg ambergris blackberry amberwood coffee,1,30,13,16,40
Amouage Alien Night,Amouage,sour_cherry oakmoss bergamot wax caramel,11,21,3,30,35
Jean Paul Gaultier Layton Cologne,Jean Paul Gaultier,oud cardamom cedarwood coffee rosewood orange,50,11,25,14,0
Montale Black Phantom Blanche,Montale,pear pepper vanilla,3,6,40,39,12
Chanel Lost Cherry Eau de Parfum,Chanel,sichuan_pepper cumin lime,31,3,59,7,0
Creed Terre Gold,Creed,vetiver nutmeg oud vanilla peach praline amberwood,3,41,30,13,13
Creed Reflection,Creed,plum birch mandarin_orange blackberry amberwood,11,71,1,4,13
Chanel Tobacco Vanille,Chanel,papyrus plum chocolate oakmoss birch cardamom pear,5,33,21,29,12
Maison Margiela Pegasus Extreme,Maison Margiela,grapefruit coconut saffron lime sage,14,4,47,3,32
Montale Bleu Privé,Montale,peach sichuan_pepper lime coffee rosewood neroli agarwood,34,20,24,11,11
Gucci Bleu Blanche,Gucci,nutmeg vanilla mandarin blackberry tonka_bean,19,10,28,14,29
Hermes Galloway Elixir,Hermes,wax sichuan_pepper cedar oud,1,19,24,52,4
Xerjoff Straight to Heaven Elixir,Xerjoff,ambergris green_apple lavender black_pepper cashmeran rosewood,4,30,19,3,44
Giorgio Armani Tobacco Vanille,Giorgio Armani,mandarin_orange plum lemon pineapple,76,5,1,2,16
Jean Paul Gaultier One Million Elixir,Jean Paul Gaultier,sour_cherry apricot patchouli petitgrain amberwood coffee sage,16,22,13,32,17
Versace Erba Pura Blanche,Versace,sour_cherry papyrus vanilla cashmeran tonka_bean agarwood,1,27,6,23,43
Kilian Jadore Extreme,Kilian,cedar coconut lavender mandarin mandarin_orange coffee sage,12,15,21,15,37
Lancome Interlude Elixir,Lancome,apple mint cherry_liqueur sage,7,7,27,3,56
Yves Saint Laurent Tuscan Leather Sport,Yves Saint Laurent,nutmeg grapefruit patchouli cedar saffron praline amberwood,24,36,15,25,0
Giorgio Armani Pegasus Elixir,Giorgio Armani,papyrus nutmeg vanilla green_apple bourbon_vanilla pepper,3,19,17,25,36
Lancome Angels Share Limited Edition,Lancome,vetiver papyrus melon sandalwood petitgrain,19,31,10,6,34
Amouage Gypsy Water Cologne,Amouage,oud patchouli ambergris cinnamon saffron,3,45,42,6,4
Jean Paul Gaultier Good Girl Eau de Parfum,Jean Paul Gaultier,patchouli cinnamon neroli,48,20,18,9,5
Jean Paul Gaultier One Million Privé,Jean Paul Gaultier,orange grapefruit oakmoss melon coconut agarwood,16,43,0,0,41
Gucci Y Le Parfum Privé,Gucci,nutmeg patchouli green_apple cardamom cashmeran rosewood,0,23,30,10,37
Bvlgari By the Fireplace Limited Edition,Bvlgari,papyrus apple petitgrain cardamom mandarin_orange black_cherry agarwood,15,17,45,9,14
Parfums de Marly Fucking Fabulous Cologne,Parfums de Marly,caramel mandarin grapefruit,17,6,2,66,9
Byredo Accento Blanche,Byredo,peach plum cinnamon praline,7,8,48,21,16
Montale Light Blue Limited Edition,Montale,sage coconut nutmeg vanilla,0,3,16,70,11
Byredo Mojave Ghost Intense,Byredo,pink_pepper bourbon_vanilla pineapple cherry_liqueur sage,0,5,38,20,37
Montale Hypnotic Poison Noir,Montale,cedarwood lavender blackberry cumin ambroxan,4,22,20,9,45
Bvlgari Light Blue,Bvlgari,vetiver nutmeg chocolate oakmoss ginger wax pineapple,4,15,13,30,38
Giorgio Armani Spicebomb Limited Edition,Giorgio Armani,honey sichuan_pepper cedar caramel ambroxan agarwood,5,19,60,15,1
Amouage Baccarat Rouge Limited Edition,Amouage,papyrus grapefruit bergamot green_apple black_pepper pepper,16,35,21,3,25
Hermes Tygar Absolute,Hermes,sour_cherry bourbon_vanilla cumin lime blackberry cloves,26,5,15,23,31
Prada Millessime Imperial Privé,Prada,black_pepper sichuan_pepper vetiver cedarwood,9,55,17,9,10
Lancome Grey Vetiver Gold,Lancome,plum patchouli sandalwood cardamom amberwood cherry_liqueur,5,15,49,4,27
Paco Rabanne Black Phantom Cologne,Paco Rabanne,cacao bergamot cedar sandalwood cashmeran lime caramel,40,17,5,38,0
Jean Paul Gaultier Interlude Blanche,Jean Paul Gaultier,green_apple sage amberwood,6,21,51,3,19
Kilian Light Blue Limited Edition,Kilian,apricot chocolate cedarwood bourbon_vanilla amberwood rosewood,3,14,4,37,42
Giorgio Armani Libre,Giorgio Armani,grapefruit sandalwood cedarwood blackberry pepper caramel orange,29,14,14,26,17
Versace Oud Wood Privé,Versace,sichuan_pepper caramel amberwood praline,0,13,39,42,6
Paco Rabanne Grey Vetiver Night,Paco Rabanne,vanilla petitgrain wax sage orange,13,5,19,58,5
Hermes Soleil Blanc Gold,Hermes,coconut pink_pepper pepper praline,7,10,28,41,14
Kilian Le Beau Noir,Kilian,oakmoss birch pineapple agarwood,10,41,0,0,49
Giorgio Armani Eros Night,Giorgio Armani,nutmeg licorice lavender amberwood tonka_bean,9,20,45,25,1
Lancome Pegasus Noir,Lancome,oakmoss mint ambergris ambroxan,9,39,44,5,3
Prada Love Dont Be Shy Intense,Prada,oud vanilla oakmoss bergamot peach birch mandarin tonka_bean blackcurrant,18,15,9,34,24
Amouage Alexandria Parfum,Amouage,cedarwood pear lemon blackcurrant,20,43,2,2,33
Giorgio Armani Tuscan Leather Cologne,Giorgio Armani,honey vetiver oud grapefruit sandalwood praline apple mandarin_orange,15,15,1,11,58
Prada Soleil Blanc Absolute,Prada,papyrus ginger apple bourbon_vanilla wax,1,14,13,14,58
Mancera Ombre Leather Night,Mancera,oud cacao melon mandarin blackberry agarwood,39,36,2,11,12
Creed Sedley Privé,Creed,oud sichuan_pepper apple petitgrain birch mandarin cashmeran caramel,13,15,27,32,13
Tom Ford Terre Blanche,Tom Ford,agarwood oakmoss cashmeran cloves sage,1,12,79,1,7
Byredo Invictus Eau de Parfum,Byredo,bourbon_vanilla mandarin_orange neroli tonka_bean,51,8,8,33,0
Lancome Good Girl Limited Edition,Lancome,nutmeg oud patchouli lavender cherry_liqueur,8,36,18,6,32
Bvlgari Scandal Extreme,Bvlgari,papyrus pink_pepper apricot cedarwood wax blackberry cloves rosewood,2,13,30,29,26
Roja Parfums Black Orchid Absolute,Roja Parfums,papyrus apricot patchouli cedar cherry_liqueur caramel,0,25,1,29,45
Roja Parfums Intense Cafe,Roja Parfums,vetiver bergamot ambergris petitgrain pear,25,53,3,3,16
Maison Margiela Le Beau Gold,Maison Margiela,vetiver papyrus apricot grapefruit peach birch mandarin_orange,59,24,0,6,11
Versace Le Male Intense,Versace,honey ginger licorice petitgrain cardamom mandarin,38,10,27,23,2
Parfums de Marly Noir Extreme Limited Edition,Parfums de Marly,papyrus oakmoss saffron birch lavender bourbon_vanilla coffee,8,38,19,29,6
Prada Code Eau de Parfum,Prada,nutmeg lemon cedar petitgrain birch,20,28,43,6,3
Mancera Carlisle Parfum,Mancera,plum pink_pepper chocolate sandalwood birch mandarin_orange blackberry cloves orange,22,23,25,13,17
Maison Margiela Mojave Ghost Absolute,Maison Margiela,mint apricot lemon sage,52,6,16,7,19
Kilian Invictus Elixir,Kilian,nutmeg lemon vanilla pear cumin dried_fruits,35,3,22,21,19
Gucci Bal dAfrique,Gucci,cardamom sandalwood orange,50,25,22,2,1
Hermes Pegasus Sport,Hermes,honey ginger cashmeran black_cherry blackcurrant,3,27,36,14,20
Hermes Silver Mountain Water,Hermes,vetiver mint apple cedarwood sage,0,29,43,7,21
Xerjoff Gypsy Water,Xerjoff,pear amberwood licorice,5,28,2,44,21
Chanel L'Homme Privé,Chanel,sour_cherry lavender bourbon_vanilla licorice,0,5,55,19,21
Dior Libre,Dior,chocolate cedar birch mandarin lime amberwood caramel,36,27,6,25,6
Creed Light Blue Blanche,Creed,licorice bourbon_vanilla cashmeran sage blackcurrant,0,15,24,49,12
Gucci Herod Gold,Gucci,papyrus cacao sandalwood saffron blackberry ambroxan,9,23,37,19,12
Kilian Eros Absolute,Kilian,bourbon_vanilla cumin pepper praline,2,7,24,61,6
Yves Saint Laurent Bal dAfrique Noir,Yves Saint Laurent,cherry_liqueur mint cedar praline,4,29,29,16,22
Montale Layton Extreme,Montale,lemon apricot grapefruit oakmoss patchouli agarwood,19,62,4,0,15
Xerjoff Straight to Heaven Night,Xerjoff,papyrus chocolate bergamot sandalwood mandarin pineapple coffee,17,12,0,43,28
