name,brand,notes,citrus,woody,fresh_spicy,sweet,fruity
Versace Eros,Versace,nutmeg cashmeran cedar amber apple vanilla cardamom honey mint papyrus,7,54,22,15,2
Versace Eros Intense,Versace,cacao cedar apple vanilla cinnamon mint cloves,12,2,59,17,10
Versace Eros Parfum,Versace,tonka_bean ginger cedar apple vanilla honey mint,11,10,48,24,7
Versace Eros Eau de Parfum,Versace,birch sandalwood cedar apple vanilla neroli mint,61,25,12,0,2
Versace Eros Extreme,Versace,nutmeg yuzu ginger cashmeran cedar amber apple vanilla amberwood praline mint,22,26,14,26,12
Versace Eros Elixir,Versace,ambroxan mandarin cedar apple vanilla grapefruit mint papyrus,53,16,12,8,11
Versace Eros Cologne,Versace,cedar apple vanilla mint caramel coffee,4,6,11,75,4
Versace Eros Limited Edition,Versace,cedar apple vanilla grapefruit cinnamon mint,23,5,55,11,6
Versace Dylan Blue,Versace,yuzu cherry_liqueur lime coconut cloves,67,1,19,0,13
Versace Dylan Blue Intense,Versace,pepper petitgrain neroli vetiver cloves,69,13,17,0,1
Versace Dylan Blue Parfum,Versace,neroli ambroxan sandalwood,45,35,9,0,11
Versace Dylan Blue Eau de Parfum,Versace,mint lavender grapefruit,64,5,19,0,12
Versace Dylan Blue Extreme,Versace,patchouli orange ambergris,70,18,5,0,7
Versace Dylan Blue Elixir,Versace,oakmoss amberwood grapefruit,56,31,7,0,6
Versace Dylan Blue Cologne,Versace,mandarin sage lemon,65,8,16,0,11
Versace Dylan Blue Limited Edition,Versace,apple cherry_liqueur petitgrain,70,8,9,0,13
Versace Pour Homme,Versace,rosewood tonka_bean grapefruit,50,13,7,25,5
Versace Pour Homme Intense,Versace,black_pepper tonka_bean sour_cherry cacao birch cashmeran lime amberwood cinnamon,22,15,27,16,20
Versace Pour Homme Parfum,Versace,nutmeg bergamot pear pineapple cardamom,31,11,23,5,30
Versace Pour Homme Eau de Parfum,Versace,mandarin pear lime raspberry vetiver agarwood,55,25,6,0,14
Versace Pour Homme Extreme,Versace,rosewood vanilla,7,48,0,42,3
Versace Pour Homme Elixir,Versace,raspberry pineapple,1,5,3,5,86
Versace Pour Homme Cologne,Versace,honey apricot caramel sour_cherry,4,12,0,39,45
Versace Pour Homme Limited Edition,Versace,honey cacao birch amberwood,7,22,8,57,6
Versace Crystal Noir,Versace,pear petitgrain,31,7,9,2,51
Versace Crystal Noir Intense,Versace,praline mint blackcurrant amber,12,12,28,18,30
Versace Crystal Noir Parfum,Versace,bergamot ambergris,61,19,4,8,8
Versace Crystal Noir Eau de Parfum,Versace,neroli mint orange sandalwood,49,27,13,0,11
Versace Crystal Noir Extreme,Versace,amber amberwood cinnamon lavender ambergris,3,27,40,30,0
Versace Crystal Noir Elixir,Versace,cedarwood pineapple,6,17,11,6,60
Versace Crystal Noir Cologne,Versace,honey sour_cherry rosewood agarwood,0,51,9,17,23
Versace Crystal Noir Limited Edition,Versace,pepper mandarin cedarwood cashmeran praline chocolate ambergris,36,25,16,13,10
Versace Man Eau Fraiche,Versace,pink_pepper cedarwood oakmoss lemon,45,42,13,0,0
Versace Man Eau Fraiche Intense,Versace,neroli cedar,45,40,10,0,5
Versace Man Eau Fraiche Parfum,Versace,neroli cinnamon cloves grapefruit,67,5,19,0,9
Versace Man Eau Fraiche Eau de Parfum,Versace,neroli orange amberwood sandalwood,66,15,7,0,12
Versace Man Eau Fraiche Extreme,Versace,ambroxan rosewood cashmeran lime,69,13,9,0,9
Versace Man Eau Fraiche Elixir,Versace,mandarin nutmeg bergamot black_pepper,66,9,14,0,11
Versace Man Eau Fraiche Cologne,Versace,orange oud cashmeran lime fig dried_fruits cardamom cloves,57,13,17,0,13
Versace Man Eau Fraiche Limited Edition,Versace,oud petitgrain,55,34,8,0,3
Versace The Dreamer,Versace,dried_fruits black_pepper,10,3,42,10,35
Versace The Dreamer Intense,Versace,ginger pear saffron licorice coffee,10,4,43,22,21
Versace The Dreamer Parfum,Versace,blackcurrant pink_pepper lemon blackberry cloves,23,3,28,8,38
Versace The Dreamer Eau de Parfum,Versace,vetiver cloves lemon rosewood,54,27,13,0,6
Versace The Dreamer Extreme,Versace,neroli papyrus oakmoss raspberry,39,28,0,10,23
Versace The Dreamer Elixir,Versace,cacao orange cashmeran patchouli vetiver,25,16,10,39,10
Versace The Dreamer Cologne,Versace,fig,6,8,0,0,86
Versace The Dreamer Limited Edition,Versace,bergamot yuzu pepper cinnamon licorice,19,9,20,40,12
Versace Oud Noir,Versace,ambroxan saffron cashmeran cardamom agarwood,1,81,18,0,0
Versace Oud Noir Intense,Versace,cedarwood saffron honey patchouli cinnamon chocolate,7,63,16,14,0
Versace Oud Noir Parfum,Versace,cedarwood cedar vanilla amberwood licorice,9,69,8,14,0
Versace Oud Noir Eau de Parfum,Versace,papyrus cardamom cedar lime,13,72,15,0,0
Versace Oud Noir Extreme,Versace,black_pepper cedarwood oakmoss saffron cashmeran,12,69,16,3,0
